Subject,Rep,Sample,conc,Stock,H2O
P19,1,1,71.0294,5.63,5.37
P19,1,2,211.7647,1.89,9.11
P19,1,3,137.23,2.91,8.09
P19,1,4,83.4559,4.79,6.21
P19,1,5,121.5441,3.29,7.71
P19,1,6,387.0588,1.03,9.97
P19,1,7,64.8529,6.17,4.83
P19,1,8,210.7353,1.9,9.1
P19,1,9,100.7353,3.97,7.03
P19,1,10,109.4118,3.66,7.34
P19,1,11,292.4265,1.37,9.63
P19,1,12,186.1765,2.15,8.85
P19,1,13,125.8824,3.18,7.82
P19,1,14,231.1029,1.73,9.27
P19,1,15,165.8824,2.41,8.59
P19,1,16,365.4412,1.09,9.91
P19,2,1,205.2941,1.95,9.05
P19,2,2,326.3235,1.23,9.77
P19,2,3,298.9706,1.34,9.66
P19,2,4,162.0588,2.47,8.53
P19,2,5,141.3235,2.83,8.17
P19,2,6,194.2647,2.06,8.94
P19,2,7,156.8382,2.55,8.45
P19,2,8,167.5,2.39,8.61
P19,2,9,94.5588,4.23,6.77
P19,2,10,245.9559,1.63,9.37
P19,2,11,171.1765,2.34,8.66
P19,2,12,202.3529,1.98,9.02
P19,2,13,230.5147,1.74,9.26
P19,2,14,171.6912,2.33,8.67
NA,NA,NA,NA,NA,NA
P23,2,11,146.6912,2.73,8.27
P23,2,12,237.8676,1.68,9.32
P23,2,13,204.7794,1.95,9.05
P23,2,14,191.3235,2.09,8.91
P23,2,15,280.8088,1.42,9.58
P23,2,16,194.7059,2.05,8.95
P21,1,1,216.7647,1.85,9.15
P21,1,2,157.2794,2.54,8.46
P21,1,3,137.9412,2.9,8.1
P21,1,4,223.75,1.79,9.21
P21,1,5,42.8676,9.33,1.67
P21,1,6,163.75,2.44,8.56
P21,1,7,259.8529,1.54,9.46
P21,1,8,208.6765,1.92,9.08
P21,1,9,119.7794,3.34,7.66
P21,1,10,163.3088,2.45,8.55
P21,1,11,143.2353,2.79,8.21
P21,1,12,146.5441,2.73,8.27
P21,1,13,216.5441,1.85,9.15
P21,1,14,178.2353,2.24,8.76
P21,1,15,118.3824,3.38,7.62
P21,1,16,212.5735,1.88,9.12
P21,2,1,108.8235,3.68,7.32
P21,2,2,68.6029,5.83,5.17
P21,2,3,319.1912,1.25,9.75
P21,2,4,193.6029,2.07,8.93
P21,2,5,172.2059,2.32,8.68
P21,2,6,126.4706,3.16,7.84
P21,2,7,198.3824,2.02,8.98
P21,2,8,215.9559,1.85,9.15
NA,NA,NA,NA,NA,NA
P19,2,15,149.7794,2.67,8.33
P19,2,16,73.0882,5.47,5.53
P22,1,1,85.6618,4.67,6.33
P22,1,2,158.4559,2.52,8.48
P22,1,3,226.1029,1.77,9.23
P22,1,4,130,3.08,7.92
P22,1,5,333.9706,1.2,9.8
P22,1,6,128.4559,3.11,7.89
P22,1,7,273.8235,1.46,9.54
P22,1,8,89.2647,4.48,6.52
P22,1,9,258.1618,1.55,9.45
P22,1,10,412.2059,0.97,10.03
P22,1,11,216.1765,1.85,9.15
P22,1,12,123.0147,3.25,7.75
P22,1,13,208.8971,1.91,9.09
P22,1,14,20,20,-9
P22,1,15,107.9412,3.71,7.29
P22,1,16,181.9118,2.2,8.8
P22,2,1,198.3824,2.02,8.98
P22,2,2,80.2941,4.98,6.02
P22,2,3,374.9265,1.07,9.93
P22,2,4,110.1471,3.63,7.37
P22,2,5,273.3088,1.46,9.54
P22,2,6,282.6471,1.42,9.58
P22,2,7,161.3971,2.48,8.52
P22,2,8,130.8088,3.06,7.94
P22,2,9,137.2794,2.91,8.09
P22,2,10,193.4559,2.07,8.93
P22,2,11,202.0588,1.98,9.02
P22,2,12,190.1471,2.1,8.9
P21,2,9,94.7794,4.22,6.78
P21,2,10,212.7206,1.88,9.12
P21,2,11,280.7353,1.42,9.58
P21,2,12,168.4559,2.37,8.63
P21,2,13,255.8088,1.56,9.44
P21,2,14,236.3971,1.69,9.31
P21,2,15,96.5441,4.14,6.86
P21,2,16,191.5441,2.09,8.91
P22,2,13,182.7206,2.19,8.81
P22,2,14,136.9853,2.92,8.08
P22,2,15,140.3676,2.85,8.15
P22,2,16,280.2941,1.43,9.57
P23,1,1,157.0588,2.55,8.45
P23,1,2,133.6765,2.99,8.01
P23,1,3,235.4412,1.7,9.3
P23,1,4,206.4706,1.94,9.06
P23,1,5,296.5441,1.35,9.65
P23,1,6,197.4265,2.03,8.97
P23,1,7,215.7353,1.85,9.15
P23,1,8,126.25,3.17,7.83
P23,1,9,162.9412,2.45,8.55
P23,1,10,134.0441,2.98,8.02
P23,1,11,176.25,2.27,8.73
P23,1,12,170.8824,2.34,8.66
P23,1,13,220.5147,1.81,9.19
P23,1,14,187.2059,2.14,8.86
P23,1,15,152.7206,2.62,8.38
P23,1,16,174.1912,2.3,8.7
P23,2,1,164.6324,2.43,8.57
P23,2,2,200.7353,1.99,9.01
P23,2,3,74.4118,5.38,5.62
P23,2,4,198.2353,2.02,8.98
P23,2,5,118.8235,3.37,7.63
P23,2,6,102.7941,3.89,7.11
P23,2,7,204.7059,1.95,9.05
P23,2,8,166.7647,2.4,8.6
P23,2,9,243.4559,1.64,9.36
P23,2,10,86.0294,4.65,6.35
NA,NA,NA,NA,NA,NA
